platform,post_type,post_time,publish_hour,post_day,region,category,title,title_length,description_length,tags,creator_followers,likes,dislikes,comments,shares,views,engagement_rate,sentiment_score,viral_label,video_length,date,time,views_s,likes_s,engagement_rate_s,video_length_s
TikTok,carousel,2024-03-10 01:00:00,1,Friday,UK,News,Daily Vlog,2,170,#news #update,8620118,368,1396,260,239,18032,0.048078523,positive,0,18,2024-03-10,01:00:00,0.03596079252545196,0.07217101392429888,3.016627523156535e-05,0.030000000000000002
YouTube,image,2023-04-26 04:00:00,4,Monday,India,Gaming,Beginner’s Guide to eSports,2,223,#gamers #play,3936170,1304,1123,27,215,95192,0.01624069,positive,0,0,2023-04-26,04:00:00,0.18983916160619024,0.2557364189056678,4.675404026918072e-06,0.0
TikTok,poll,2023-03-25 19:00:00,19,Saturday,Canada,Fashion,Casual Style Hacks,2,143,#streetwear #style,1014143,504,871,104,89,16128,0.043214086,positive,0,44,2023-03-25,19:00:00,0.032163690209099885,0.09884291037458325,2.6271577465856206e-05,0.07333333333333333
LinkedIn,carousel,2022-03-01 03:00:00,3,Saturday,US,News,Movie Review,2,103,#music #trending,6335178,2156,1687,132,700,103488,0.028872634,neutral,0,14,2022-03-01,03:00:00,0.20638367884172426,0.4228280054912728,1.4789134366803862e-05,0.023333333333333334
Twitter,reel,2022-08-17 05:00:00,5,Monday,Germany,News,Behind the Scenes,3,125,#travel #explore,6206709,3857,130,403,453,84854,0.055541807,positive,1,89,2022-08-17,05:00:00,0.1692223319074257,0.7564228280054912,3.614173251874016e-05,0.14833333333333334
LinkedIn,carousel,2023-06-11 21:00:00,21,Tuesday,Brazil,Comedy,Tech Review,2,13,#tech #review,8224082,1677,1685,244,665,129129,0.02002633,positive,0,24,2023-06-11,21:00:00,0.2575189206975979,0.3288880172582859,7.706366016924142e-06,0.04
Instagram,article,2022-02-28 23:00:00,23,Saturday,Canada,Education,Breaking News,2,149,#funny #viral,5230201,5057,1332,169,812,480415,0.012568274,mixed,1,0,2022-02-28,23:00:00,0.9580803095117014,0.991763090802118,1.7350945132056956e-06,0.0
LinkedIn,carousel,2022-12-23 23:00:00,23,Sunday,Canada,Comedy,Tech Review,2,186,#fitness #motivation,2336161,2809,769,16,725,58989,0.060179691,negative,0,5,2022-12-23,23:00:00,0.11764037213198122,0.5508923318297705,3.985504126390804e-05,0.008333333333333333
YouTube,video,2022-08-15 00:00:00,0,Tuesday,Brazil,Sports,Basketball Training Tips,3,170,#basketball #training,5435877,2150,343,486,629,202100,0.016155289,mixed,1,396,2022-08-15,00:00:00,0.40304326582707634,0.42165130417728963,4.607027957109928e-06,0.66
LinkedIn,carousel,2022-09-16 15:00:00,15,Monday,UK,Fashion,Casual Style Hacks,3,269,#casualstyle #fashionblog,8973716,1785,1515,203,307,83895,0.027355297,neutral,0,11,2022-09-16,15:00:00,0.16730982081426307,0.35006864090998235,1.357428277684025e-05,0.018333333333333333
LinkedIn,live,2022-12-15 17:00:00,17,Thursday,Canada,Comedy,Breaking News,2,232,#fitness #motivation,1811144,2048,1437,35,415,196608,0.01270542,neutral,0,39,2022-12-15,17:00:00,0.3920906996918843,0.4016473818395764,1.8449000713362541e-06,0.065
YouTube,image,2023-11-24 10:00:00,10,Tuesday,India,Comedy,Behind the Scenes,3,238,#news #update,4616507,3580,805,438,723,340100,0.013939977,neutral,1,0,2023-11-24,10:00:00,0.6782534127055352,0.7020984506766033,2.8333446517760007e-06,0.0
LinkedIn,reel,2024-03-15 00:00:00,0,Wednesday,UK,Travel,Luxury Travel Destinations,3,190,#travel #explore,9882660,105,385,65,351,2205,0.236174071,positive,0,40,2024-03-15,00:00:00,0.004397379520775375,0.020592272994704845,0.00018076444528401678,0.06666666666666667
YouTube,story,2022-02-01 17:00:00,17,Saturday,Japan,Education,Tech Review,2,227,#education #learning,6154368,2040,1215,502,377,53040,0.055032899,positive,0,24,2022-02-01,17:00:00,0.10577642166980766,0.4000784467542655,3.573427676372648e-05,0.04
Instagram,video,2022-06-11 14:00:00,14,Sunday,India,Gaming,Virtual Reality Adventures,2,257,#vr #gamingcommunity,107415,1611,955,265,650,72495,0.034843302,positive,0,408,2022-06-11,14:00:00,0.1445750695503904,0.31594430280447144,1.9569532862948646e-05,0.68
YouTube,story,2024-06-26 22:00:00,22,Tuesday,US,Music,Breaking News,2,211,#music #trending,6205341,2574,276,96,99,244530,0.011323718,negative,0,40,2024-06-26,22:00:00,0.48766041461006915,0.5048048636987644,7.386442616144203e-07,0.06666666666666667
Instagram,carousel,2022-02-23 10:00:00,10,Saturday,Canada,Comedy,Funny Moments,2,109,#news #update,1038160,496,1184,148,735,17360,0.079430908,mixed,0,6,2022-02-23,10:00:00,0.03462063876673946,0.09727397528927241,5.5268473864038706e-05,0.01
Instagram,article,2023-10-22 10:00:00,10,Monday,UK,Fashion,Summer Outfit Trends,3,138,#streetwear #style,1486301,2211,459,158,41,92862,0.025952209,positive,0,0,2023-10-22,10:00:00,0.18519249753208294,0.43361443420278484,1.2450904326529699e-05,0.0
YouTube,poll,2024-01-06 07:00:00,7,Thursday,Canada,Education,Daily Vlog,2,150,#travel #explore,7037048,2322,1337,157,21,136998,0.018248308,neutral,0,7,2024-01-06,07:00:00,0.27321188189895,0.45538340851147285,6.282797716875917e-06,0.011666666666666667
LinkedIn,image,2024-07-09 07:00:00,7,Monday,Canada,Sports,Cricket World Cup Updates,3,57,#basketball #training,3674371,1638,21,204,136,129402,0.015285581,negative,0,0,2024-07-09,07:00:00,0.2580633581620749,0.32123945871739557,3.910698699598859e-06,0.0
TikTok,image,2022-05-31 13:00:00,13,Thursday,Canada,Travel,Top Beaches to Visit,2,20,#travel #explore,7094689,462,252,140,713,42504,0.030937537,negative,0,0,2022-05-31,13:00:00,0.08476472523856532,0.09060600117670131,1.6442393130460602e-05,0.0
Twitter,article,2022-07-05 06:00:00,6,Saturday,Germany,Sports,Top Football Highlights,2,126,#basketball #training,8023876,276,747,106,305,14076,0.048803012,neutral,0,0,2022-07-05,06:00:00,0.028071434981602802,0.05412826044322416,3.074633530626276e-05,0.0
TikTok,image,2022-07-13 04:00:00,4,Tuesday,India,Comedy,Movie Review,2,57,#news #update,8606159,1967,856,242,455,66878,0.039833131,positive,0,0,2022-07-13,04:00:00,0.13337321886186645,0.38576191410080407,2.3564625379836153e-05,0.0
YouTube,article,2024-09-05 21:00:00,21,Wednesday,US,Gaming,Top 10 PC Games 2024,2,198,#gaming #esports,5056550,3478,1584,252,75,111296,0.034187804,negative,0,0,2024-09-05,21:00:00,0.2219549891810504,0.68209452833889,1.904471023783771e-05,0.0
LinkedIn,video,2022-05-21 23:00:00,23,Wednesday,US,Comedy,Breaking News,2,263,#funny #viral,9427373,1272,474,105,160,30528,0.050345573,neutral,0,324,2022-05-21,23:00:00,0.060881270752939066,0.2494606785644244,3.198138242069143e-05,0.54
Instagram,article,2024-03-19 01:00:00,1,Monday,Brazil,Travel,Backpacking Asia,2,213,#wanderlust #adventure,3142423,675,1082,174,279,63450,0.017777498,positive,0,0,2024-03-19,01:00:00,0.1265368392712914,0.13237889782310255,5.905845018120947e-06,0.0
Facebook,live,2024-01-21 06:00:00,6,Saturday,Canada,Music,Breaking News,2,129,#music #trending,163497,4601,510,226,725,427893,0.012975176,negative,1,20,2024-01-21,06:00:00,0.8533369230309014,0.9023337909393999,2.0608794519894795e-06,0.03333333333333333
Twitter,article,2022-10-31 03:00:00,3,Thursday,Australia,Comedy,Behind the Scenes,3,239,#news #update,4899519,1915,1705,35,409,135965,0.017349926,negative,0,0,2022-10-31,03:00:00,0.2711517943502149,0.3755638360462836,5.563510702129233e-06,0.0
TikTok,carousel,2022-01-02 05:00:00,5,Tuesday,Germany,Education,Life Hacks,2,193,#fitness #motivation,1278054,3462,1499,243,272,332352,0.011966193,mixed,1,9,2022-01-02,05:00:00,0.6628017589518084,0.6789566581682682,1.2530400585019068e-06,0.015000000000000001
LinkedIn,image,2023-11-27 12:00:00,12,Sunday,Australia,News,Fitness Motivation,2,149,#news #update,4494583,2914,699,191,310,174840,0.019532032,mixed,0,0,2023-11-27,12:00:00,0.3486792904364474,0.5714846048244754,7.310607717208372e-06,0.0
Twitter,carousel,2023-02-09 05:00:00,5,Thursday,Australia,Comedy,Cooking Tutorial,2,172,#education #learning,8050847,267,975,237,196,19224,0.036410923,negative,0,10,2023-02-09,05:00:00,0.03833797002602531,0.052363208472249456,2.082464419570488e-05,0.016666666666666666
Facebook,poll,2024-02-09 21:00:00,21,Thursday,Brazil,Technology,Life Hacks,2,234,#education #learning,2396598,4963,1806,270,743,342447,0.017450825,negative,1,55,2024-02-09,21:00:00,0.6829339794788956,0.9733281035497157,5.644295201931016e-06,0.09166666666666667
Facebook,article,2024-04-05 14:00:00,14,Thursday,India,Health,Daily Fitness Routine,2,184,#fitness #lifestyle,8656639,2073,189,72,141,70482,0.032433353,negative,0,0,2024-04-05,14:00:00,0.14056059110353286,0.40655030398117276,1.764001399246621e-05,0.0
Facebook,carousel,2023-11-20 08:00:00,8,Saturday,Canada,Health,10 Tips for a Healthier Life,2,254,#mindfulness #meditation,9766766,4972,957,243,0,129272,0.040340984,mixed,1,15,2023-11-20,08:00:00,0.25780410222660965,0.9750931555206903,2.3971236452075074e-05,0.025
TikTok,story,2023-12-16 22:00:00,22,Tuesday,India,Music,Exploring New Trends,3,266,#tech #review,720149,4363,686,364,847,257417,0.021653497,positive,1,47,2023-12-16,22:00:00,0.5133606549203785,0.8556579721514023,9.009152686652963e-06,0.07833333333333334
YouTube,carousel,2024-01-20 06:00:00,6,Saturday,Germany,Music,Exploring New Trends,3,159,#music #trending,7403392,2265,957,172,30,106455,0.023173893,mixed,0,21,2024-01-20,06:00:00,0.21230069699961113,0.4442047460286331,1.0226453456339797e-05,0.035
Twitter,carousel,2023-02-06 22:00:00,22,Sunday,UK,Sports,Olympics Moments,2,28,#sports #football,7614546,2379,562,151,5,121329,0.020893431,neutral,0,22,2023-02-06,22:00:00,0.241963564569685,0.46656207099431257,8.40060798723729e-06,0.03666666666666667
YouTube,article,2022-04-19 11:00:00,11,Thursday,Canada,Education,Breaking News,2,221,#music #trending,2358648,3149,1899,156,146,107066,0.032232154,negative,0,0,2022-04-19,11:00:00,0.21351919989629764,0.6175720729554814,1.7478924580523387e-05,0.0
Facebook,live,2022-04-14 08:00:00,8,Sunday,US,Sports,Olympics Moments,2,106,#sports #football,1841096,4959,1590,243,10,441351,0.011809168,neutral,1,57,2022-04-14,08:00:00,0.8801758951808311,0.9725436360070602,1.127318435082696e-06,0.095
LinkedIn,reel,2023-01-12 14:00:00,14,Sunday,Brazil,Travel,Top Beaches to Visit,2,17,#travel #explore,8847031,1411,1267,31,104,118524,0.013043662,neutral,0,65,2023-01-12,14:00:00,0.23636961919291635,0.2767209256717003,2.1157125747501104e-06,0.10833333333333334
Facebook,story,2024-10-29 14:00:00,14,Saturday,Canada,Travel,Luxury Travel Destinations,2,180,#luxurytravel #vacation,4131075,222,831,122,455,5106,0.156451929,neutral,0,24,2024-10-29,14:00:00,0.010182775434502977,0.043537948617375956,0.00011693513711845785,0.04
YouTube,video,2024-03-24 02:00:00,2,Wednesday,Australia,Fashion,Summer Outfit Trends,2,177,#fashion #ootd,1133265,4583,1528,229,754,137490,0.04048265,mixed,1,349,2024-03-24,02:00:00,0.2741930659008645,0.8988036869974505,2.4084660935458647e-05,0.5816666666666667
Facebook,article,2023-01-28 13:00:00,13,Monday,UK,Gaming,Epic Gaming Moments,3,125,#vr #gamingcommunity,3975893,4798,1154,151,483,215910,0.025158514,mixed,1,0,2023-01-28,13:00:00,0.43058422327918877,0.9409688174151795,1.1815434663102148e-05,0.0
Facebook,carousel,2023-11-12 10:00:00,10,Friday,US,Fashion,Best Evening Dresses,2,179,#fashion #ootd,9072146,3600,1508,86,77,288000,0.013065927,positive,1,10,2023-11-12,10:00:00,0.5743516108767837,0.7060207883898804,2.1335389842099345e-06,0.016666666666666666
YouTube,image,2024-08-10 10:00:00,10,Thursday,Brazil,News,Daily Vlog,2,186,#funny #viral,3138289,170,1842,86,294,9520,0.057767041,neutral,0,0,2024-08-10,10:00:00,0.01898551158176035,0.033339870562855464,3.7923359845392764e-05,0.0
YouTube,article,2024-05-28 03:00:00,3,Sunday,India,Gaming,Epic Gaming Moments,2,175,#vr #gamingcommunity,7311858,446,646,81,100,18732,0.033470346,neutral,0,0,2024-05-28,03:00:00,0.03735678602411081,0.08746813100607963,1.847027951346196e-05,0.0
LinkedIn,live,2024-08-18 12:00:00,12,Wednesday,Canada,Comedy,Tech Review,2,146,#travel #explore,5596491,5010,20,487,41,295590,0.018735347,mixed,1,9,2024-08-18,12:00:00,0.5894881689550989,0.9825455971759168,6.672744118713006e-06,0.015000000000000001
YouTube,reel,2022-04-27 12:00:00,12,Saturday,Australia,Sports,Olympics Moments,2,206,#olympics #sports,1953246,391,840,46,81,37536,0.013799718,neutral,0,45,2022-04-27,12:00:00,0.0748571599509408,0.07668170229456756,2.7210466789745046e-06,0.07500000000000001
LinkedIn,carousel,2022-02-16 23:00:00,23,Sunday,Japan,Fashion,Summer Outfit Trends,2,13,#outfitideas #trend,363369,545,166,344,835,22890,0.075313442,mixed,0,10,2022-02-16,23:00:00,0.04564898740614437,0.10688370268680134,5.197183632292483e-05,0.016666666666666666
Instagram,reel,2022-09-28 22:00:00,22,Wednesday,UK,Gaming,Virtual Reality Adventures,3,88,#gamers #play,9015818,385,1297,113,443,13475,0.069827842,negative,0,29,2022-09-28,22:00:00,0.026872874849182847,0.07550500098058442,4.7579806153025614e-05,0.04833333333333334
Instagram,video,2023-07-02 11:00:00,11,Monday,Germany,Travel,Backpacking Asia,2,45,#wanderlust #adventure,6411547,3478,387,103,118,278240,0.013294231,negative,1,64,2023-07-02,11:00:00,0.554887472952626,0.68209452833889,2.316329937963155e-06,0.10666666666666667
YouTube,article,2023-10-18 04:00:00,4,Monday,Japan,Comedy,Top 10 Facts,3,227,#news #update,858915,3472,600,271,650,302064,0.014543227,neutral,1,0,2023-10-18,04:00:00,0.6023991145412666,0.6809178270249068,3.3163350630330577e-06,0.0
Facebook,reel,2023-06-20 02:00:00,2,Friday,Australia,Sports,Basketball Training Tips,3,84,#basketball #training,4037834,4863,315,241,747,481437,0.012153174,positive,1,41,2023-06-20,02:00:00,0.9601184600197434,0.95371641498333,1.4027458688413274e-06,0.06833333333333334
Twitter,image,2024-12-10 02:00:00,2,Friday,Australia,Health,10 Tips for a Healthier Life,2,260,#fitness #lifestyle,1183416,869,13,305,272,43450,0.033278866,mixed,0,0,2024-12-10,02:00:00,0.08665131073818143,0.17042557364189057,1.83169715914603e-05,0.0
Facebook,carousel,2023-03-18 13:00:00,13,Sunday,Canada,Education,Life Hacks,2,275,#sports #highlights,2526447,2935,241,17,750,211320,0.017518373,negative,1,25,2023-03-18,13:00:00,0.42143049448084,0.5756030594234164,5.698377317636928e-06,0.04166666666666667
YouTube,image,2022-02-23 15:00:00,15,Friday,US,Gaming,Beginner’s Guide to eSports,2,275,#pcgames #gamerlife,6698677,4949,776,485,38,217756,0.025128928,negative,1,0,2022-02-23,15:00:00,0.4342656575627948,0.9705824671504216,1.1791746715638491e-05,0.0
LinkedIn,article,2024-06-03 18:00:00,18,Tuesday,Germany,Health,Healthy Eating Habits,2,26,#fitness #lifestyle,3754720,1693,1369,256,662,106659,0.024479655,neutral,0,0,2024-06-03,18:00:00,0.21270752939064885,0.3320258874289076,1.1271908119222242e-05,0.0
Facebook,article,2024-11-12 20:00:00,20,Tuesday,Japan,Comedy,Funny Moments,2,198,#music #trending,3675647,4986,564,392,679,154566,0.03918689,mixed,1,0,2024-11-12,20:00:00,0.30824733016243383,0.9778387919199842,2.304721434566927e-05,0.0
Instagram,live,2024-04-27 01:00:00,1,Wednesday,India,Technology,Funny Moments,2,28,#travel #explore,8283556,3445,897,169,781,96460,0.045562455,neutral,0,20,2024-04-27,01:00:00,0.19236790411518942,0.6756226711119827,2.8151792483002203e-05,0.03333333333333333
TikTok,poll,2023-07-24 08:00:00,8,Saturday,Canada,Travel,Exploring Paris in 3 Days,2,59,#wanderlust #adventure,7492057,592,1363,124,34,18352,0.040865254,mixed,0,25,2023-07-24,08:00:00,0.03659896098198172,0.11610119631300254,2.439099174906593e-05,0.04166666666666667
YouTube,reel,2022-06-13 17:00:00,17,Monday,UK,Gaming,Top 10 PC Games 2024,2,216,#gamers #play,6953945,1979,91,398,141,174152,0.014458551,positive,0,83,2022-06-13,17:00:00,0.34730722825490845,0.38811531672877037,3.248539462430317e-06,0.13833333333333334
Facebook,reel,2024-01-11 11:00:00,11,Thursday,UK,Education,Daily Vlog,2,253,#travel #explore,5626398,3099,1390,81,943,226227,0.018224977,mixed,1,18,2024-01-11,11:00:00,0.45115917317299353,0.6077662286722887,6.2641178175223496e-06,0.030000000000000002
TikTok,reel,2024-12-13 01:00:00,1,Monday,Germany,Gaming,Epic Gaming Moments,3,216,#vr #gamingcommunity,2466869,3301,955,262,624,240973,0.017375318,negative,1,83,2024-12-13,01:00:00,0.4805667733604555,0.6473818395763875,5.583840735320513e-06,0.13833333333333334
Facebook,story,2022-05-16 23:00:00,23,Tuesday,India,Travel,Luxury Travel Destinations,2,140,#luxurytravel #vacation,9532590,513,1478,473,692,24111,0.069591904,neutral,0,28,2022-05-16,23:00:00,0.04808399892309073,0.10060796234555795,4.7390903058701256e-05,0.04666666666666667
LinkedIn,article,2024-11-23 14:00:00,14,Wednesday,Australia,Technology,Behind the Scenes,3,35,#tech #review,9479450,682,1451,33,480,51150,0.023362202,mixed,0,0,2024-11-23,14:00:00,0.10200723922342876,0.13375171602274954,1.0377222526134083e-05,0.0
LinkedIn,article,2022-03-22 07:00:00,7,Thursday,Canada,Education,Tech Review,2,197,#education #learning,5641270,349,508,35,71,30712,0.014814574,negative,0,0,2022-03-22,07:00:00,0.06124821761544368,0.06844479309668562,3.5335882733494583e-06,0.0
LinkedIn,video,2024-10-11 22:00:00,22,Friday,India,Fashion,Streetwear Collection 2024,2,145,#streetwear #style,9522452,2064,775,492,639,198144,0.016124555,neutral,1,406,2024-10-11,22:00:00,0.39515390828322716,0.40478525201019805,4.582420866683778e-06,0.6766666666666667
TikTok,story,2024-04-28 13:00:00,13,Friday,Australia,Music,Fitness Motivation,2,80,#fashion #ootd,4677548,5061,1966,470,759,389697,0.016140704,neutral,1,27,2024-04-28,13:00:00,0.7771635406383679,0.9925475583447735,4.595350517991511e-06,0.045000000000000005
Twitter,image,2023-03-05 19:00:00,19,Tuesday,Germany,Comedy,Breaking News,2,95,#sports #highlights,1371009,1783,34,220,285,172951,0.013229104,positive,0,0,2023-03-05,19:00:00,0.34491210226649516,0.3496764071386546,2.26418618907971e-06,0.0
TikTok,article,2024-01-26 09:00:00,9,Wednesday,India,Sports,Basketball Training Tips,2,252,#basketball #training,8936342,0,205,284,901,0,1185.0,negative,1,0,2024-01-26,09:00:00,0.0,0.0,0.9487585804882692,0.0
YouTube,poll,2024-04-28 20:00:00,20,Sunday,Brazil,News,Exploring New Trends,3,12,#sports #highlights,4754371,3088,1104,105,957,188368,0.022031226,mixed,1,47,2024-04-28,20:00:00,0.375657861936243,0.6056089429299862,9.311580345258379e-06,0.07833333333333334
YouTube,live,2023-07-21 06:00:00,6,Saturday,Australia,Fashion,Casual Style Hacks,2,120,#outfitideas #trend,4011661,4947,1955,512,417,281979,0.020838357,negative,1,47,2023-07-21,06:00:00,0.5623440725118909,0.9701902333790939,8.356513144453081e-06,0.07833333333333334
Instagram,video,2023-06-13 03:00:00,3,Monday,Canada,Comedy,Cooking Tutorial,2,52,#sports #highlights,9899083,228,1585,118,455,19836,0.04037909,neutral,0,36,2023-06-13,03:00:00,0.039558467199138476,0.04471464993135909,2.400174591351123e-05,0.060000000000000005
Instagram,video,2024-01-04 17:00:00,17,Tuesday,Canada,Education,Funny Moments,2,214,#funny #viral,3563853,218,1895,160,260,15696,0.040644709,positive,0,149,2024-01-04,17:00:00,0.03130216279278471,0.04275348107472053,2.4214413016781334e-05,0.24833333333333335
YouTube,carousel,2024-10-17 10:00:00,10,Saturday,US,Education,Exploring New Trends,3,294,#tech #review,5296573,1946,1411,202,351,101192,0.024695384,mixed,0,28,2024-10-17,10:00:00,0.20180482016612325,0.3816434595018631,1.1444630934688591e-05,0.04666666666666667
Facebook,article,2024-08-02 10:00:00,10,Saturday,Canada,Gaming,Top 10 PC Games 2024,2,179,#pcgames #gamerlife,6664219,1952,1025,124,164,175680,0.012750383,positive,0,0,2024-08-02,10:00:00,0.35035448263483804,0.38282016081584624,1.8808995704847857e-06,0.0
YouTube,poll,2022-09-06 19:00:00,19,Monday,Brazil,Sports,Cricket World Cup Updates,2,248,#sports #football,9411151,573,1021,20,489,42975,0.025176843,positive,0,45,2022-09-06,19:00:00,0.08570402943552007,0.11237497548538929,1.1830109725262003e-05,0.07500000000000001
Twitter,article,2024-02-08 18:00:00,18,Thursday,Australia,Gaming,Virtual Reality Adventures,3,197,#gamers #play,9865966,1284,1413,49,198,116844,0.013102829,negative,0,0,2024-02-08,18:00:00,0.2330192347961351,0.2518140811923907,2.163084466441526e-06,0.0
Instagram,reel,2023-09-03 16:00:00,16,Monday,Brazil,Gaming,Epic Gaming Moments,2,271,#gamers #play,1381401,3046,565,68,974,213220,0.019172596,neutral,1,38,2023-09-03,16:00:00,0.4252196196914855,0.5973720337321043,7.02282629746433e-06,0.06333333333333334
Instagram,story,2022-12-12 06:00:00,6,Thursday,Germany,Technology,Travel Diary,2,212,#sports #highlights,5645210,2386,1129,204,462,221898,0.013754005,neutral,0,39,2022-12-12,06:00:00,0.4425259505220019,0.4679348891939596,2.68444669444107e-06,0.065
TikTok,live,2022-01-06 09:00:00,9,Saturday,UK,Comedy,Fitness Motivation,2,206,#news #update,8454149,1256,1795,262,388,77872,0.024475749,mixed,0,28,2022-01-06,09:00:00,0.155298293896517,0.2463228083938027,1.1268780791337668e-05,0.04666666666666667
Instagram,live,2022-10-31 00:00:00,0,Wednesday,Germany,Fashion,Streetwear Collection 2024,3,142,#fashion #ootd,2660729,102,1845,83,477,3468,0.190833093,positive,0,16,2022-10-31,00:00:00,0.00691615064764127,0.020003922337713278,0.0001444623191157331,0.02666666666666667
YouTube,reel,2022-10-23 08:00:00,8,Tuesday,Australia,Music,Exploring New Trends,3,250,#tech #review,8479377,1226,1500,272,425,69882,0.027517422,positive,0,32,2022-10-23,08:00:00,0.13936402524753957,0.24043930182388704,1.3704087700876802e-05,0.05333333333333334
Instagram,article,2022-05-17 04:00:00,4,Monday,Brazil,Fashion,Casual Style Hacks,2,297,#casualstyle #fashionblog,5078103,387,702,329,826,13158,0.117182157,positive,0,0,2022-05-17,04:00:00,0.026240689221933053,0.07589723475191214,8.54939049124888e-05,0.0
Instagram,carousel,2023-03-14 11:00:00,11,Wednesday,Brazil,Gaming,Beginner’s Guide to eSports,2,156,#pcgames #gamerlife,9119804,4851,401,438,986,116424,0.053897359,negative,1,30,2023-03-14,11:00:00,0.2321816386969398,0.9513630123553638,3.4825109865096e-05,0.05
TikTok,story,2022-02-11 02:00:00,2,Wednesday,Germany,Gaming,Virtual Reality Adventures,2,181,#gamers #play,2879195,3656,729,241,869,266888,0.017857611,neutral,1,59,2022-02-11,02:00:00,0.5322484469572327,0.7170033339870563,5.969987265641936e-06,0.09833333333333334
