post_id,platform,post_type,post_time,publish_hour,post_day,region,category,title,title_length,description_length,tags,creator_followers,likes,dislikes,comments,shares,views,engagement_rate,sentiment_score,viral_label,video_length
93,Twitter,article,2024-02-08T18:00:00.000000000,18,Thursday,Australia,Gaming,Virtual Reality Adventures,3,197,#gamers #play,9865966,1284,1413,49,198,116844,0.013102829,negative,1,0
94,Instagram,reel,2023-09-03T16:00:00.000000000,16,Monday,Brazil,Gaming,Epic Gaming Moments,2,271,#gamers #play,1381401,3046,565,68,974,213220,0.019172596,neutral,1,38
95,Instagram,story,2022-12-12T06:00:00.000000000,6,Thursday,Germany,Technology,Travel Diary,2,212,#sports #highlights,5645210,2386,1129,204,462,221898,0.013754005,neutral,1,39
96,TikTok,live,2022-01-06T09:00:00.000000000,9,Saturday,UK,Comedy,Fitness Motivation,2,206,#news #update,8454149,1256,1795,262,388,77872,0.024475749,mixed,1,28
97,Instagram,live,2022-10-31T00:00:00.000000000,0,Wednesday,Germany,Fashion,Streetwear Collection 2024,3,142,#fashion #ootd,2660729,102,1845,83,477,3468,0.190833093,positive,0,16
98,YouTube,reel,2022-10-23T08:00:00.000000000,8,Tuesday,Australia,Music,Exploring New Trends,3,250,#tech #review,8479377,1226,1500,272,425,69882,0.027517422,positive,0,32
99,Instagram,article,2022-05-17T04:00:00.000000000,4,Monday,Brazil,Fashion,Casual Style Hacks,2,297,#casualstyle #fashionblog,5078103,387,702,329,826,13158,0.117182157,positive,1,0
100,Instagram,carousel,2023-03-14T11:00:00.000000000,11,Wednesday,Brazil,Gaming,Beginner’s Guide to eSports,2,156,#pcgames #gamerlife,9119804,4851,401,438,986,116424,0.053897359,negative,1,30
101,TikTok,story,2022-02-11T02:00:00.000000000,2,Wednesday,Germany,Gaming,Virtual Reality Adventures,2,181,#gamers #play,2879195,3656,729,241,869,266888,0.017857611,neutral,1,59
102,YouTube,reel,2022-05-10T14:00:00.000000000,14,Monday,Australia,Music,Travel Diary,2,113,#funny #viral,3165863,1926,1579,29,889,134820,0.021094637,positive,1,29
103,Facebook,live,2024-04-11T12:00:00.000000000,12,Friday,Japan,Fashion,Best Evening Dresses,2,193,#streetwear #style,7340997,4629,161,199,182,134241,0.03732066,positive,0,47
104,Instagram,image,2024-11-24T00:00:00.000000000,0,Saturday,Canada,Travel,Backpacking Asia,2,157,#travel #explore,9864298,4988,201,506,53,154628,0.03587296,neutral,1,0
105,Instagram,live,2024-09-13T18:00:00.000000000,18,Friday,Brazil,Health,Mindfulness & Meditation,3,34,#mindfulness #meditation,2260102,4970,1981,515,423,114310,0.051683565,mixed,1,26
106,Instagram,reel,2022-04-19T08:00:00.000000000,8,Thursday,India,Health,Daily Fitness Routine,2,236,#mindfulness #meditation,6939940,2792,995,199,351,103304,0.032350806,negative,1,69
107,Twitter,article,2023-10-16T08:00:00.000000000,8,Wednesday,India,Music,Exploring New Trends,3,248,#funny #viral,9985631,1255,269,84,268,124245,0.012934018,negative,1,0
108,YouTube,live,2022-04-01T09:00:00.000000000,9,Tuesday,Canada,Gaming,Top 10 PC Games 2024,2,142,#pcgames #gamerlife,4441539,1885,1886,205,332,103675,0.023361241,negative,0,38
109,Instagram,story,2024-01-27T19:00:00.000000000,19,Tuesday,US,Music,Behind the Scenes,3,209,#fitness #motivation,336107,1368,815,134,123,60192,0.026996495,neutral,1,51
110,Twitter,image,2023-12-16T04:00:00.000000000,4,Wednesday,UK,Health,Mindfulness & Meditation,2,247,#mindfulness #meditation,6707576,92,1294,469,736,8740,0.148381192,negative,1,0
111,Facebook,carousel,2022-02-18T15:00:00.000000000,15,Friday,Canada,Travel,Backpacking Asia,2,245,#luxurytravel #vacation,3655636,382,455,84,213,21010,0.032316406,positive,1,24
112,Facebook,live,2024-09-16T01:00:00.000000000,1,Saturday,US,Technology,Travel Diary,2,276,#news #update,5113230,25,1485,91,387,2150,0.233844723,negative,0,13
113,TikTok,carousel,2022-04-19T02:00:00.000000000,2,Wednesday,India,Technology,Fitness Motivation,2,52,#education #learning,8192082,547,1750,138,332,15316,0.066396814,neutral,0,16
114,TikTok,image,2024-06-23T18:00:00.000000000,18,Sunday,Canada,News,Fitness Motivation,2,118,#funny #viral,2412107,5062,1275,516,377,404960,0.01470512,negative,0,0
115,TikTok,story,2023-09-06T23:00:00.000000000,23,Thursday,Brazil,Comedy,Exploring New Trends,3,267,#travel #explore,5091100,621,1016,132,74,44712,0.018495739,mixed,1,48
116,Twitter,story,2022-05-10T08:00:00.000000000,8,Wednesday,Canada,Sports,Top Football Highlights,3,206,#sports #football,9403920,3333,1725,209,250,123321,0.030748772,mixed,1,56
117,Facebook,reel,2022-11-02T06:00:00.000000000,6,Monday,Canada,Music,Top 10 Facts,3,20,#funny #viral,2233736,1900,295,244,420,117800,0.02176552,neutral,1,59
118,TikTok,live,2022-01-17T21:00:00.000000000,21,Friday,Australia,Fashion,Casual Style Hacks,2,221,#streetwear #style,6213272,854,1748,104,332,46116,0.027972331,neutral,0,58
119,LinkedIn,carousel,2022-04-11T11:00:00.000000000,11,Monday,Australia,Sports,Cricket World Cup Updates,2,75,#cricket #worldcup,9422607,3511,719,102,107,287902,0.012921019,mixed,1,30
120,TikTok,carousel,2024-10-27T18:00:00.000000000,18,Monday,Australia,Sports,Olympics Moments,2,182,#olympics #sports,8644487,156,1772,198,61,15132,0.027423512,negative,0,14
121,Facebook,live,2023-04-04T11:00:00.000000000,11,Wednesday,US,Health,Healthy Eating Habits,2,129,#fitness #lifestyle,5334573,4279,337,57,89,98417,0.044961288,positive,0,22
122,LinkedIn,image,2023-06-19T22:00:00.000000000,22,Saturday,Germany,Comedy,Cooking Tutorial,2,232,#fashion #ootd,9330046,227,878,168,183,13620,0.042434476,neutral,1,0
123,Twitter,carousel,2022-12-13T18:00:00.000000000,18,Wednesday,Germany,News,Movie Review,2,23,#fashion #ootd,4702208,2327,1076,47,47,148928,0.016256068,mixed,0,11
124,LinkedIn,article,2024-03-25T15:00:00.000000000,15,Saturday,Australia,Fashion,Streetwear Collection 2024,2,265,#streetwear #style,4269817,5061,791,428,975,349209,0.018510352,negative,0,0
125,Facebook,reel,2024-03-06T04:00:00.000000000,4,Tuesday,US,Fashion,Best Evening Dresses,2,145,#fashion #ootd,2741071,492,1945,471,686,48216,0.034199556,neutral,1,25
126,Instagram,carousel,2023-04-14T15:00:00.000000000,15,Saturday,Australia,Health,Daily Fitness Routine,2,256,#health #wellness,6908933,2100,216,76,139,98700,0.023454676,negative,1,24
127,LinkedIn,live,2023-03-14T21:00:00.000000000,21,Monday,Canada,Sports,Olympics Moments,3,46,#basketball #training,719112,4845,763,436,986,295545,0.021204821,positive,0,9
128,Facebook,live,2022-08-30T16:00:00.000000000,16,Wednesday,Australia,Technology,Exploring New Trends,3,55,#music #trending,8399562,1144,187,87,175,113256,0.012414244,neutral,1,53
129,TikTok,image,2023-04-10T07:00:00.000000000,7,Tuesday,UK,Gaming,Top 10 PC Games 2024,3,259,#gaming #esports,998484,268,379,127,363,25460,0.029771022,positive,0,0
130,Instagram,reel,2024-09-23T14:00:00.000000000,14,Sunday,UK,Fashion,Best Evening Dresses,2,259,#fashion #ootd,4233179,2640,492,24,397,232320,0.013175735,positive,0,51
131,Twitter,poll,2022-07-23T10:00:00.000000000,10,Monday,Japan,Comedy,Behind the Scenes,3,57,#news #update,2264734,2943,1064,0,737,58860,0.062520175,positive,1,17
132,Twitter,image,2022-03-22T13:00:00.000000000,13,Tuesday,Japan,Technology,Fitness Motivation,2,260,#tech #review,6939370,3985,1180,300,344,231130,0.020027603,mixed,1,0
133,YouTube,live,2024-10-18T18:00:00.000000000,18,Friday,Brazil,Gaming,Epic Gaming Moments,2,134,#pcgames #gamerlife,7806083,4729,14,429,968,170244,0.035983436,positive,0,32
134,Twitter,poll,2024-04-08T17:00:00.000000000,17,Thursday,UK,Travel,Backpacking Asia,2,258,#backpacking #travelgram,8606536,2678,1836,112,55,144612,0.019673197,positive,1,16
135,YouTube,live,2024-03-24T04:00:00.000000000,4,Monday,US,Health,Daily Fitness Routine,2,141,#healthy #habits,7280157,5000,64,500,179,325000,0.017473792,negative,1,6
136,Twitter,carousel,2022-05-05T03:00:00.000000000,3,Wednesday,Brazil,Health,Healthy Eating Habits,2,122,#fitness #lifestyle,5917817,193,1880,163,236,11773,0.050280279,mixed,1,11
137,Twitter,reel,2022-02-26T02:00:00.000000000,2,Saturday,UK,Education,Fitness Motivation,2,41,#travel #explore,3056449,1298,1862,76,243,75284,0.021478382,mixed,0,82
138,Twitter,carousel,2023-05-15T16:00:00.000000000,16,Friday,Japan,Technology,Funny Moments,2,163,#fitness #motivation,2583871,1233,520,148,139,83844,0.01812869,mixed,0,16
139,YouTube,reel,2022-04-20T20:00:00.000000000,20,Sunday,Japan,Technology,Daily Vlog,2,197,#fashion #ootd,7721084,2155,1367,366,427,174555,0.016888563,mixed,1,88
140,TikTok,video,2024-10-22T20:00:00.000000000,20,Tuesday,Japan,News,Top 10 Facts,3,247,#news #update,5883800,1919,1152,221,419,109383,0.023394646,positive,1,78
141,YouTube,carousel,2022-01-15T10:00:00.000000000,10,Thursday,Australia,Travel,Backpacking Asia,2,131,#backpacking #travelgram,8835290,3501,647,255,276,147042,0.02742055,negative,1,11
142,LinkedIn,carousel,2023-06-26T17:00:00.000000000,17,Saturday,Australia,Gaming,Virtual Reality Adventures,2,183,#pcgames #gamerlife,9745875,3470,1495,176,782,142270,0.031123701,positive,1,12
143,Facebook,carousel,2024-04-20T17:00:00.000000000,17,Monday,Brazil,Fashion,Casual Style Hacks,2,167,#streetwear #style,1609050,350,1086,94,429,8050,0.108433735,positive,1,17
144,Facebook,story,2023-11-06T23:00:00.000000000,23,Thursday,India,Fashion,Best Evening Dresses,2,136,#casualstyle #fashionblog,6159890,4579,1162,214,157,311372,0.015897332,mixed,1,38
145,TikTok,image,2023-06-23T22:00:00.000000000,22,Friday,Japan,Fashion,Streetwear Collection 2024,2,241,#outfitideas #trend,1249477,1263,1522,31,194,98514,0.015104299,mixed,1,0
146,Facebook,story,2023-03-19T00:00:00.000000000,0,Thursday,UK,Gaming,Virtual Reality Adventures,2,149,#gaming #esports,6597060,3683,592,230,838,338836,0.014021491,neutral,1,33
147,Twitter,reel,2024-02-28T14:00:00.000000000,14,Monday,Japan,News,Cooking Tutorial,2,119,#funny #viral,9234712,4688,391,192,198,407856,0.012450442,negative,1,12
148,TikTok,reel,2022-07-28T08:00:00.000000000,8,Friday,Japan,Music,Travel Diary,2,292,#sports #highlights,5496923,2644,1698,356,291,237960,0.013829997,mixed,0,25
